"PrivilegedRole","Principal","SamAccountName","Type","Enabled","LastLogonDate","DistinguishedName"
"Account Operators","(no members)","","","","",""
"Administrators","Administrator","Administrator","user","True","8/2/2026 1:07:25 PM","CN=Administrator,CN=Users,DC=lab,DC=local"
"Administrators","sod-testuser","sod-testuser","user","True",,"CN=sod-testuser,OU=Accounts,OU=Tier2,OU=Admin,DC=lab,DC=local"
"Administrators","t0-admin","t0-admin","user","True","8/2/2026 6:05:08 PM","CN=t0-admin,OU=Accounts,OU=Tier0,OU=Admin,DC=lab,DC=local"
"Backup Operators","(no members)","","","","",""
"DnsAdmins","(no members)","","","","",""
"Domain Admins","Administrator","Administrator","user","True","8/2/2026 1:07:25 PM","CN=Administrator,CN=Users,DC=lab,DC=local"
"Domain Admins","sod-testuser","sod-testuser","user","True",,"CN=sod-testuser,OU=Accounts,OU=Tier2,OU=Admin,DC=lab,DC=local"
"Domain Admins","t0-admin","t0-admin","user","True","8/2/2026 6:05:08 PM","CN=t0-admin,OU=Accounts,OU=Tier0,OU=Admin,DC=lab,DC=local"
"Enterprise Admins","Administrator","Administrator","user","True","8/2/2026 1:07:25 PM","CN=Administrator,CN=Users,DC=lab,DC=local"
"Group Policy Creator Owners","Administrator","Administrator","user","True","8/2/2026 1:07:25 PM","CN=Administrator,CN=Users,DC=lab,DC=local"
"Print Operators","(no members)","","","","",""
"Schema Admins","Administrator","Administrator","user","True","8/2/2026 1:07:25 PM","CN=Administrator,CN=Users,DC=lab,DC=local"
"Server Operators","(no members)","","","","",""
